,Text,User,Date,Favs,Retweets,Replies
46,"ਸਾਡੇ ਗੁਰੂਆਂ ਦਾ ਯੋਗਦਾਨ ਕੇਵਲ ਸਮਾਜ ਅਤੇ ਅਧਿਆਤਮ ਤੱਕ ਹੀ ਸੀਮਤ ਨਹੀਂ ਹੈ,
ਬਲਕਿ ਸਾਡਾ ਰਾਸ਼ਟਰ, ਰਾਸ਼ਟਰ ਦਾ ਚਿੰਤਨ, ਰਾਸ਼ਟਰ ਦੀ ਆਸਥਾ ਅਤੇ ਅਖੰਡਤਾ ਅਗਰ ਅੱਜ ਸੁਰੱਖਿਅਤ ਹੈ, ਤਾਂ ਉਸ ਦੇ ਵੀ ਮੂਲ ਵਿੱਚ ਸਿੱਖ ਗੁਰੂਆਂ ਦੀ ਮਹਾਨ ਤਪੱਸਿਆ ਹੈ। https://t.co/2jWIcJAZDB",narendramodi,2021-12-25 10:37:22+00:00,6809,1782,232
47,"ਸ੍ਰੀ ਗੁਰੂ ਨਾਨਕ ਦੇਵ ਜੀ ਨੇ ਸਾਨੂੰ ਸਾਹਸ, ਦਇਆ ਅਤੇ ਦਿਆਲਤਾ ਦਾ ਮਾਰਗ ਦਿਖਾਇਆ।

ਉਨ੍ਹਾਂ ਦੇ ਵਿਚਾਰ ਸਾਨੂੰ ਹਮੇਸ਼ਾ ਪ੍ਰੇਰਿਤ ਕਰਦੇ ਹਨ। https://t.co/ksKEWrgQxI",narendramodi,2021-12-25 10:36:57+00:00,5196,1477,116
48,ਗੁਰੂ ਜੀ ਦੀ ਮੇਰੇ 'ਤੇ ਵਿਸ਼ੇਸ਼ ਕ੍ਰਿਪਾ ਹੈ ਕਿ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਵਜੋਂ ਅਹੁਦਾ ਸੰਭਾਲਣ ਤੋਂ ਬਾਅਦ ਉਨ੍ਹਾਂ ਨੇ ਵਾਰ-ਵਾਰ ਮੇਰੇ ਤੋਂ ਸੇਵਾ ਲਈ ਹੈ। https://t.co/MgeM3BlUIg,narendramodi,2021-12-25 10:36:36+00:00,4820,1427,98
49,ਮੈਂ ਹਮੇਸ਼ਾ ਇਸ ਤੱਥ ਦੀ ਕਦਰ ਕਰਾਂਗਾ ਕਿ ਮੈਨੂੰ ਮੁੱਖ ਮੰਤਰੀ ਵਜੋਂ ਆਪਣੇ ਕਾਰਜਕਾਲ ਦੇ ਸ਼ੁਰੂ ਵਿੱਚ ਗੁਰਦੁਆਰਾ ਲਖਪਤ ਸਾਹਿਬ ਦੀ ਮੁਰੰਮਤ ਕਰਵਾ ਕੇ ਗੁਰੂ ਜੀ ਦੀ ਸੇਵਾ ਕਰਨ ਦਾ ਮੌਕਾ ਮਿਲਿਆ। ਸਾਡੇ ਪ੍ਰਯਤਨਾਂ ਨੂੰ ਯੂਨੈਸਕੋ ਨੇ ਵੀ ਮਾਨਤਾ ਦਿੱਤੀ ਸੀ। https://t.co/WnRwXRQn22,narendramodi,2021-12-25 10:36:18+00:00,4801,1402,110
50,"गुरु नानक देव जी ने जिस ‘मानव जात’ का पाठ हमें सिखाया था, उसी पर चलते हुए देश ‘सबका साथ, सबका विकास और सबका विश्वास’ के मंत्र से आगे बढ़ रहा है। इस मंत्र के साथ आज देश ‘सबका प्रयास’ को अपनी ताकत बना रहा है। https://t.co/kqjPQuAblh",narendramodi,2021-12-25 09:39:29+00:00,9177,2588,249
51,"गुरुओं का योगदान केवल समाज और अध्यात्म तक सीमित नहीं है। हमारा राष्ट्र, राष्ट्र का चिंतन, राष्ट्र की आस्था और अखंडता अगर आज सुरक्षित है, तो उसके मूल में सिख गुरुओं की महान तपस्या और त्याग निहित है। https://t.co/H7sZm4ZW7P",narendramodi,2021-12-25 09:39:14+00:00,7566,2248,180
52,"Sri Guru Nanak Dev Ji showed us the path of courage, compassion and kindness. 

His thoughts always motivate us. https://t.co/FStgOYEMC6",narendramodi,2021-12-25 09:38:54+00:00,6903,2026,141
53,Blessed opportunities to serve the great Sikh Gurus. https://t.co/Nqx4PCDzQY,narendramodi,2021-12-25 09:38:32+00:00,6214,1863,110
54,"Lakhpat Gurdwara Sahib enhances Kutch’s cultural vibrancy. 

I consider myself blessed to have got the opportunity to work towards restoring this sacred site to its glory after the damage of the 2001 quake. https://t.co/YdvYO7seeW",narendramodi,2021-12-25 09:38:13+00:00,5891,1833,124
55,Paid homage to Atal Ji at ‘Sadaiv Atal’ this morning. https://t.co/JzyueX2H8b,narendramodi,2021-12-25 09:12:57+00:00,43216,6259,686
56,"I have donated Rs. 1,000 towards the party fund of the Bharatiya Janata Party. 

Our ideal of always putting Nation First and the culture of lifelong selfless service by our cadre will be further strengthened by your micro donation. 

Help make BJP strong. Help make India strong. https://t.co/ENdytJYEj5",narendramodi,2021-12-25 08:10:05+00:00,49825,10051,4325
57,"A special connect campaign by the BJP from 25th December - Jayanti of Atal ji, to 11th February - Punya Tithi of Deen Dayal ji. 

Your support will enthuse millions of Karyakartas who are selflessly devoted to the cause of nation building. @BJP4India 

https://t.co/CO75lMX33e",narendramodi,2021-12-25 08:09:23+00:00,9135,2900,339
58,Addressing a programme for Sri Guru Nanak Dev Ji’s Prakash Purab. https://t.co/5W9ZDLpn4T,narendramodi,2021-12-25 07:08:00+00:00,11710,3136,354
