,Text,User,Date,Favs,Retweets,Replies
115,"Folks, I’m excited to share that I’m hosting a virtual grassroots event tomorrow to discuss our historic Bipartisan Infrastructure Deal and the impact it will have on our country’s future. RSVP now. 
https://t.co/cyxzWsqG8d",JoeBiden,2021-11-08 23:12:54+00:00,6755,1139,1029
116,"With the Bipartisan Infrastructure Deal and the Build Back Better Agenda, fifty years from now, people will look back and say this was the moment when America decided to win the competition of the 21st century. https://t.co/BnUQvEGRmZ",JoeBiden,2021-11-08 21:48:21+00:00,7080,1185,1076
117,"When it comes to manufacturing, the Bipartisan Infrastructure Deal will get America off the sidelines.
https://t.co/xsqs0EE5Je",JoeBiden,2021-11-08 20:08:00+00:00,5201,854,821
118,"On average, families spend $11,000 a year on child care—and sometimes even more. How are working families supposed to get ahead?

Our Build Back Better Framework will ensure nearly all families earning under $300,000 a year won’t pay more than 7% of their income on child care.",JoeBiden,2021-11-08 18:06:01+00:00,13701,2344,1618
119,"There are no Republican bridges or Democratic roads. The Bipartisan Infrastructure Deal is a win for the American people—but there is still more work to do. 

Now, we must pass the Build Back Better Framework.",JoeBiden,2021-11-08 14:44:34+00:00,30006,4112,2431
120,"The Bipartisan Infrastructure Deal will help ease inflationary pressures, lowering costs for working families.
https://t.co/FOcchsNWgN",JoeBiden,2021-11-08 01:49:00+00:00,7700,1229,1353
121,"The Build Back Better Framework is a historic investment in addressing the climate crisis.
https://t.co/yDapwpZUTy",JoeBiden,2021-11-07 23:06:00+00:00,6557,1076,1050
122,"For all of you at home who feel left behind and forgotten in an economy that is changing rapidly, this bill is for you.
https://t.co/0Q5ZIvCrLQ",JoeBiden,2021-11-07 22:01:00+00:00,9501,1647,1486
123,Climate change is an existential threat to our planet. That’s why the Build Back Better Framework will be an unprecedented effort to combat climate change and puts the United States on track to meet our target of reducing greenhouse gas emissions in half by the year 2030.,JoeBiden,2021-11-07 20:38:00+00:00,14483,2245,1586
124,"The Bipartisan Infrastructure Deal has passed both houses of Congress. 

After years of “infrastructure week,” I look forward to signing this historic legislation that will make a once-in-a-generation investment in America’s future.",JoeBiden,2021-11-07 18:30:01+00:00,15628,2309,999
125,"In our first 10 months, we have worked to:
— Get Americans back to work
— Get shots in arms
— Build a path out of this pandemic
— Safely reopen schools
— Pass the historic Bipartisan Infrastructure Deal

We're on the right track, but our work is far from over.",JoeBiden,2021-11-07 16:35:00+00:00,29006,4203,3348
126,"One year ago this month, the people of this nation made their voices heard and delivered a clear victory, won with the most votes ever cast for a presidential ticket in the history of this country. 

Now, we're on our way to building our country back better, one day at a time. https://t.co/epGwWjIU2u",JoeBiden,2021-11-07 14:00:09+00:00,31148,3978,3344
127,"Together, our infrastructure bill and our Build Back Better Act are the highest value investments that we can make to grow the economy. They will create millions of jobs, increase productivity and wages and reduce costs, and generate significant and historic economic growth.",JoeBiden,2021-11-07 01:07:00+00:00,17264,2578,2993
128,"Our infrastructure bill will make high-speed internet affordable and available everywhere in America, so no parent has to sit in the parking lot of a fast food restaurant so their child can access the internet to do their homework.",JoeBiden,2021-11-06 22:51:00+00:00,31082,4027,2133
