,Text,User,Date,Favs,Retweets,Replies
68,"Her türlü desteği verdiğimiz, önündeki engelleri kaldırdığımız, üretim mekanizmalarına entegre ettiğimiz meslek liselerimiz 2021’de 750 milyon TL üretim geliri sağladı… https://t.co/Ct7MzoZXVZ",RTErdogan,2021-12-31 15:15:00+00:00,24532,10073,223
69,Ders kitaplarının ücretsiz dağıtılmasının ardından devrim niteliğinde bir yeniliğe daha imza attık. 23 milyon 518 bin yardımcı kaynağı öğrencilerimize ücretsiz şekilde dağıttık. https://t.co/owxxDJ30vn,RTErdogan,2021-12-31 15:10:00+00:00,26052,10423,274
70,"20. Millî Eğitim Şûrası’nı “Eğitimde Fırsat Eşitliği” temasıyla gerçekleştirdik, önümüzdeki döneme dair yol haritamızı belirledik. https://t.co/wBLmNakHEr",RTErdogan,2021-12-31 15:05:00+00:00,23750,9594,385
71,Tüm organize sanayi bölgelerinde mesleki eğitim merkezleri kurduk. https://t.co/QGN4Sg97oc,RTErdogan,2021-12-31 15:00:18+00:00,24366,9858,236
72,“Kütüphanesiz Okul Kalmayacak” projesini başarıyla hayata geçirdik. Artık her okulumuzda kütüphane var… https://t.co/mGO6YIEVwp,RTErdogan,2021-12-31 14:55:00+00:00,24251,9803,388
73,"Mesleki Eğitimde 1.000 Okul projesini hayata geçirdik, 50 Araştırma Geliştirme Merkezi’ni öğrencilerimizin istifadesine sunduk. https://t.co/GMY0KijS2f",RTErdogan,2021-12-31 14:50:00+00:00,24431,9882,262
74,"Özellikle kırsal bölgelerimizde yaşayan, eve veya yatağa bağlı olan 562 bin hastamıza evde sağlık hizmeti sunduk. https://t.co/D2uoJIK25K",RTErdogan,2021-12-31 14:45:00+00:00,24834,10106,238
75,Bin 800 hastamızı uçak ambulans hizmetiyle en kısa sürede tedavi olacakları hastanelerimize ulaştırdık. https://t.co/z5WEmavuqF,RTErdogan,2021-12-31 14:40:00+00:00,25711,10391,269
76,Yerli ve millî aşımız TURKOVAC’ın seri üretimine başladık. Dünyada kendi aşısını üreten 9 ülke arasındaki yerimizi aldık. https://t.co/aZZ03BKQ74,RTErdogan,2021-12-31 14:35:00+00:00,28562,11021,404
77,Kentsel dönüşüm çalışmaları kapsamında 110 bin konut ve iş yerini tamamladık. Vatandaşlarımıza 2 milyar 818 milyon TL kira ve taşınma desteği sağladık. https://t.co/ThVvHRMSjP,RTErdogan,2021-12-31 14:30:00+00:00,23934,9620,237
78,"Sel felaketi sonrası Giresun, Kastamonu, Sinop ve Bartın’da konut, dükkân ve köy evlerinin yapımına başladık. Giresun’da 370 konut ve 152 dükkânı tamamladık. https://t.co/LybO9LT4PB",RTErdogan,2021-12-31 14:25:00+00:00,23733,9578,244
79,Deprem sonrası Elâzığ ve Malatya’da yapımına başladığımız konutlardan 21 bin 455’ini hak sahibi vatandaşlarımıza teslim ettik. https://t.co/s5HiN616mB,RTErdogan,2021-12-31 14:20:00+00:00,24886,9785,278
80,İzmir depremi sonrası yapımına başladığımız konut ve dükkânların ilk etabını vatandaşlarımıza teslim ettik. İnşallah kalan kısımları da kısa süre içerisinde tamamlayacağız. https://t.co/CeG7NbT44V,RTErdogan,2021-12-31 14:15:00+00:00,23898,9509,236
81,Ayder Yaylası’nda 21 bin 614 metrekarelik bir alanı kesin korunacak hassas alan olarak tescil ettik. Yayladaki bütün araçları yer altına yaptığımız bin 917 araçlık otoparka indirdik. https://t.co/gjZRnJJiMT,RTErdogan,2021-12-31 14:10:00+00:00,24246,9534,689
